date,south_dakota_flu,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,symptoms of bronchitis,oscillococcinum,bronchitis,contagious flu,flu fever,influenza,influenza incubation period,stomach flu symptoms,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,dog flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,i have the flu,fever flu,how long does the flu last,cold vs flu,cure the flu,signs of flu,flu care,flu children,influenza a and b,thermoscan,flu treatment,influenza a,cdc flu map,the flu virus,how long does flu last,human temperature,is flu contagious,flu symptoms,flu symptoms in kids,flu symptoms 2019,dangerous fever,body temperature,flu cough,keto flu,how long flu,fever cough,ear thermometer,target
2014-31,0.538933,8.0,0.0,16.0,8.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,48.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.61127
2014-32,0.61127,30.0,0.0,14.0,41.0,0.0,0.0,19.0,28.0,0.0,49.0,0.0,55.0,0.0,0.0,8.0,0.0,0.0,22.0,0.0,22.0,22.0,66.0,0.0,0.0,0.0,0.0,0.0,48.0,39.0,0.0,0.0,49.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,60.0,0.0,0.0,28.0,58.0,0.0,0.550426
2014-33,0.550426,30.0,0.0,14.0,41.0,0.0,0.0,19.0,28.0,0.0,49.0,0.0,55.0,0.0,0.0,8.0,0.0,0.0,22.0,0.0,22.0,22.0,66.0,0.0,0.0,0.0,0.0,0.0,48.0,39.0,0.0,0.0,49.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,60.0,0.0,0.0,28.0,58.0,0.0,0.61479
2014-34,0.61479,30.0,0.0,14.0,41.0,0.0,0.0,19.0,28.0,0.0,49.0,0.0,55.0,0.0,0.0,8.0,0.0,0.0,22.0,0.0,22.0,22.0,66.0,0.0,0.0,0.0,0.0,0.0,48.0,39.0,0.0,0.0,49.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,60.0,0.0,0.0,28.0,58.0,0.0,0.629746
2014-35,0.629746,30.0,0.0,14.0,41.0,0.0,0.0,19.0,28.0,0.0,49.0,0.0,55.0,0.0,0.0,8.0,0.0,0.0,22.0,0.0,22.0,22.0,66.0,0.0,0.0,0.0,0.0,0.0,48.0,39.0,0.0,0.0,49.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,60.0,0.0,0.0,28.0,58.0,0.0,0.777568
2014-36,0.777568,30.0,0.0,14.0,41.0,0.0,0.0,19.0,28.0,0.0,49.0,0.0,55.0,0.0,0.0,8.0,0.0,0.0,22.0,0.0,22.0,22.0,66.0,0.0,0.0,0.0,0.0,0.0,48.0,39.0,0.0,0.0,49.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,60.0,0.0,0.0,28.0,58.0,0.0,0.766363
2014-37,0.766363,59.0,0.0,40.0,46.0,14.0,0.0,63.0,27.0,0.0,0.0,0.0,41.0,0.0,79.0,8.0,0.0,0.0,21.0,0.0,21.0,21.0,64.0,0.0,0.0,0.0,52.0,0.0,74.0,0.0,46.0,0.0,23.0,18.0,5.0,0.0,0.0,0.0,79.0,0.0,52.0,0.0,0.0,0.0,47.0,0.0,0.0,26.0,0.0,0.0,51.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,14.0,45.0,0.0,27.0,0.0,0.0,0.668392
2014-38,0.668392,59.0,0.0,40.0,46.0,14.0,0.0,63.0,27.0,0.0,0.0,0.0,41.0,0.0,79.0,8.0,0.0,0.0,21.0,0.0,21.0,21.0,64.0,0.0,0.0,0.0,52.0,0.0,74.0,0.0,46.0,0.0,23.0,18.0,5.0,0.0,0.0,0.0,79.0,0.0,52.0,0.0,0.0,0.0,47.0,0.0,0.0,26.0,0.0,0.0,51.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,14.0,45.0,0.0,27.0,0.0,0.0,0.729108
2014-39,0.729108,59.0,0.0,40.0,46.0,14.0,0.0,63.0,27.0,0.0,0.0,0.0,41.0,0.0,79.0,8.0,0.0,0.0,21.0,0.0,21.0,21.0,64.0,0.0,0.0,0.0,52.0,0.0,74.0,0.0,46.0,0.0,23.0,18.0,5.0,0.0,0.0,0.0,79.0,0.0,52.0,0.0,0.0,0.0,47.0,0.0,0.0,26.0,0.0,0.0,51.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,14.0,45.0,0.0,27.0,0.0,0.0,0.8205309999999999
2014-40,0.8205309999999999,59.0,0.0,40.0,46.0,14.0,0.0,63.0,27.0,0.0,0.0,0.0,41.0,0.0,79.0,8.0,0.0,0.0,21.0,0.0,21.0,21.0,64.0,0.0,0.0,0.0,52.0,0.0,74.0,0.0,46.0,0.0,23.0,18.0,5.0,0.0,0.0,0.0,79.0,0.0,52.0,0.0,0.0,0.0,47.0,0.0,0.0,26.0,0.0,0.0,51.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,14.0,45.0,0.0,27.0,0.0,0.0,0.7817930000000001
2014-41,0.7817930000000001,35.0,0.0,41.0,33.0,0.0,0.0,26.0,27.0,0.0,0.0,0.0,42.0,0.0,54.0,8.0,0.0,37.0,22.0,0.0,85.0,22.0,0.0,0.0,12.0,0.0,0.0,0.0,69.0,76.0,46.0,0.0,0.0,38.0,5.0,33.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,4.0,0.0,52.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,29.0,0.0,0.0,27.0,0.0,0.0,0.844231
2014-42,0.844231,35.0,0.0,41.0,33.0,0.0,0.0,26.0,27.0,0.0,0.0,0.0,42.0,0.0,54.0,8.0,0.0,37.0,22.0,0.0,85.0,22.0,0.0,0.0,12.0,0.0,0.0,0.0,69.0,76.0,46.0,0.0,0.0,38.0,5.0,33.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,4.0,0.0,52.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,29.0,0.0,0.0,27.0,0.0,0.0,1.0968
2014-43,1.0968,35.0,0.0,41.0,33.0,0.0,0.0,26.0,27.0,0.0,0.0,0.0,42.0,0.0,54.0,8.0,0.0,37.0,22.0,0.0,85.0,22.0,0.0,0.0,12.0,0.0,0.0,0.0,69.0,76.0,46.0,0.0,0.0,38.0,5.0,33.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,4.0,0.0,52.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,29.0,0.0,0.0,27.0,0.0,0.0,0.70514
2014-44,0.70514,35.0,0.0,41.0,33.0,0.0,0.0,26.0,27.0,0.0,0.0,0.0,42.0,0.0,54.0,8.0,0.0,37.0,22.0,0.0,85.0,22.0,0.0,0.0,12.0,0.0,0.0,0.0,69.0,76.0,46.0,0.0,0.0,38.0,5.0,33.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,4.0,0.0,52.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,29.0,0.0,0.0,27.0,0.0,0.0,0.886767
2014-45,0.886767,52.0,27.0,79.0,32.0,0.0,0.0,7.0,27.0,0.0,46.0,0.0,58.0,95.0,0.0,44.0,100.0,0.0,21.0,95.0,20.0,21.0,0.0,60.0,12.0,0.0,0.0,0.0,63.0,37.0,45.0,0.0,46.0,0.0,39.0,75.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,92.0,36.0,0.0,26.0,52.0,100.0,100.0,40.0,37.0,53.0,38.0,0.0,0.0,0.0,14.0,0.0,72.0,27.0,0.0,0.0,0.80292
2014-46,0.80292,52.0,27.0,79.0,32.0,0.0,0.0,7.0,27.0,0.0,46.0,0.0,58.0,95.0,0.0,44.0,100.0,0.0,21.0,95.0,20.0,21.0,0.0,60.0,12.0,0.0,0.0,0.0,63.0,37.0,45.0,0.0,46.0,0.0,39.0,75.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,92.0,36.0,0.0,26.0,52.0,100.0,100.0,40.0,37.0,53.0,38.0,0.0,0.0,0.0,14.0,0.0,72.0,27.0,0.0,0.0,1.05989
2014-47,1.05989,52.0,27.0,79.0,32.0,0.0,0.0,7.0,27.0,0.0,46.0,0.0,58.0,95.0,0.0,44.0,100.0,0.0,21.0,95.0,20.0,21.0,0.0,60.0,12.0,0.0,0.0,0.0,63.0,37.0,45.0,0.0,46.0,0.0,39.0,75.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,92.0,36.0,0.0,26.0,52.0,100.0,100.0,40.0,37.0,53.0,38.0,0.0,0.0,0.0,14.0,0.0,72.0,27.0,0.0,0.0,0.988986
2014-48,0.988986,52.0,27.0,79.0,32.0,0.0,0.0,7.0,27.0,0.0,46.0,0.0,58.0,95.0,0.0,44.0,100.0,0.0,21.0,95.0,20.0,21.0,0.0,60.0,12.0,0.0,0.0,0.0,63.0,37.0,45.0,0.0,46.0,0.0,39.0,75.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,92.0,36.0,0.0,26.0,52.0,100.0,100.0,40.0,37.0,53.0,38.0,0.0,0.0,0.0,14.0,0.0,72.0,27.0,0.0,0.0,0.865434
2014-49,0.865434,52.0,27.0,79.0,32.0,0.0,0.0,7.0,27.0,0.0,46.0,0.0,58.0,95.0,0.0,44.0,100.0,0.0,21.0,95.0,20.0,21.0,0.0,60.0,12.0,0.0,0.0,0.0,63.0,37.0,45.0,0.0,46.0,0.0,39.0,75.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,92.0,36.0,0.0,26.0,52.0,100.0,100.0,40.0,37.0,53.0,38.0,0.0,0.0,0.0,14.0,0.0,72.0,27.0,0.0,0.0,1.4311
2014-50,1.4311,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,1.8459400000000001
2014-51,1.8459400000000001,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,3.01887
2014-52,3.01887,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,2.82456
2015-01,2.82456,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,2.52855
2015-02,2.52855,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,3.21231
2015-03,3.21231,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,3.34881
2015-04,3.34881,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,2.3367400000000003
2015-05,2.3367400000000003,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,2.15794
2015-06,2.15794,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,2.36007
2015-07,2.36007,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,1.87772
2015-08,1.87772,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,1.9298
2015-09,1.9298,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,1.6862400000000002
2015-10,1.6862400000000002,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,1.51797
2015-11,1.51797,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,1.13311
2015-12,1.13311,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,1.44533
2015-13,1.44533,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,1.40903
2015-14,1.40903,40.0,28.0,48.0,10.0,100.0,0.0,10.0,0.0,47.0,0.0,0.0,67.0,33.0,0.0,16.0,0.0,0.0,22.0,33.0,86.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,78.0,0.0,0.0,24.0,0.0,5.0,45.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,4.0,0.0,0.0,43.0,39.0,0.0,24.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,1.05526
2015-15,1.05526,21.0,30.0,0.0,14.0,61.0,0.0,0.0,0.0,50.0,0.0,0.0,72.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,35.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,50.0,1.0287
2015-16,1.0287,21.0,30.0,0.0,14.0,61.0,0.0,0.0,0.0,50.0,0.0,0.0,72.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,35.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,50.0,1.01868
2015-17,1.01868,21.0,30.0,0.0,14.0,61.0,0.0,0.0,0.0,50.0,0.0,0.0,72.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,35.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,50.0,0.9910049999999999
2015-18,0.9910049999999999,21.0,30.0,0.0,14.0,61.0,0.0,0.0,0.0,50.0,0.0,0.0,72.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,35.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,50.0,0.630613
2015-19,0.630613,24.0,0.0,0.0,12.0,34.0,32.0,0.0,34.0,0.0,0.0,0.0,29.0,0.0,0.0,5.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,22.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,29.0,0.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,34.0,35.0,0.0,0.548619
2015-20,0.548619,24.0,0.0,0.0,12.0,34.0,32.0,0.0,34.0,0.0,0.0,0.0,29.0,0.0,0.0,5.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,22.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,29.0,0.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,34.0,35.0,0.0,0.589787
2015-21,0.589787,24.0,0.0,0.0,12.0,34.0,32.0,0.0,34.0,0.0,0.0,0.0,29.0,0.0,0.0,5.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,22.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,29.0,0.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,34.0,35.0,0.0,0.5066390000000001
2015-22,0.5066390000000001,24.0,0.0,0.0,12.0,34.0,32.0,0.0,34.0,0.0,0.0,0.0,29.0,0.0,0.0,5.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,22.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,29.0,0.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,34.0,35.0,0.0,0.707034
2015-23,0.707034,24.0,0.0,0.0,12.0,34.0,32.0,0.0,34.0,0.0,0.0,0.0,29.0,0.0,0.0,5.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,22.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,29.0,0.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,34.0,35.0,0.0,0.576959
2015-24,0.576959,4.0,32.0,24.0,12.0,24.0,61.0,0.0,32.0,0.0,0.0,0.0,14.0,0.0,62.0,5.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,14.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,28.0,0.0,6.0,52.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.376614
2015-25,0.376614,4.0,32.0,24.0,12.0,24.0,61.0,0.0,32.0,0.0,0.0,0.0,14.0,0.0,62.0,5.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,14.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,28.0,0.0,6.0,52.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.5530970000000001
2015-26,0.5530970000000001,4.0,32.0,24.0,12.0,24.0,61.0,0.0,32.0,0.0,0.0,0.0,14.0,0.0,62.0,5.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,14.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,28.0,0.0,6.0,52.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.977836
2015-27,0.977836,4.0,32.0,24.0,12.0,24.0,61.0,0.0,32.0,0.0,0.0,0.0,14.0,0.0,62.0,5.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,14.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,28.0,0.0,6.0,52.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.578574
2015-28,0.578574,13.0,0.0,15.0,11.0,15.0,28.0,5.0,30.0,0.0,52.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,47.0,0.0,23.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,41.0,51.0,0.0,78.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,0.0,0.0,13.0,0.0,0.0,0.0,32.0,0.0,0.0,30.0,0.0,0.0,0.653717
